,Name,Url
33,Tutorial 26- Linear Regression Indepth Maths Intuition- Data Science,https://www.youtube.com/watch?v=1-OGRohmH2s&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=34
34,Tutorial 27- Ridge and Lasso Regression Indepth Intuition- Data Science,https://www.youtube.com/watch?v=9lRv01HDU0s&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=35
35,Tutorial 28- Ridge and Lasso Regression using Python and Sklearn,https://www.youtube.com/watch?v=0yI0-r3Ly40&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=36
36,Multiple Linear Regression using python and sklearn,https://www.youtube.com/watch?v=5rvnlZWzox8&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=37
37,Tutorial 28-MultiCollinearity In Linear Regression- Part 2,https://www.youtube.com/watch?v=NAPhUDjgG_s&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=38
38,Machine Learning-Bias And Variance In Depth Intuition| Overfitting Underfitting,https://www.youtube.com/watch?v=BqzgUnrNhFM&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=39
39,Tutorial 29-R square and Adjusted R square Clearly Explained| Machine Learning,https://www.youtube.com/watch?v=WuuyD3Yr-js&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=40
40,"Tutorial 31- Hypothesis Test, Type 1 Error, Type 2 Error",https://www.youtube.com/watch?v=Y3QzLIBp64M&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=41
41,"Tutorial 32- All About P Value,T test,Chi Square Test, Anova Test  and When  to Use What?",https://www.youtube.com/watch?v=YrhlQB3mQFI&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=42
42,"Tutorial 33- P Value,T test, Correlation Implementation with Python- Hypothesis Testing",https://www.youtube.com/watch?v=4-rxTA_5_xA&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=43
43,Tutorial 33- Chi Square Test Implementation with Python- Hypothesis Testing- Part 2,https://www.youtube.com/watch?v=w5iKu1IrTJQ&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=44
44,Tutorial 34- Performance Metrics For Classification Problem In Machine Learning- Part1,https://www.youtube.com/watch?v=aWAnNHXIKww&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=45
45,Tutorial 35- Logistic Regression Indepth Intuition- Part 1| Data Science,https://www.youtube.com/watch?v=L_xBe7MbPwk&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=46
46,Tutorial 36- Logistic Regression Indepth Intuition- Part 2| Data Science,https://www.youtube.com/watch?v=uFfsSgQgerw&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=47
47,Tutorial 36- Logistic Regression Mutliclass Classification(OneVsRest)- Part 3| Data Science,https://www.youtube.com/watch?v=V8fS0T_ktn4&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=48
48,Tutorial 37: Entropy In Decision Tree Intuition,https://www.youtube.com/watch?v=1IQOtJ4NI_0&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=49
49,Tutorial 38- Decision Tree Information Gain,https://www.youtube.com/watch?v=FuTRucXB9rA&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=50
